ID,d_oFMT_01_cc,d_oFMT_01_d0,d_oFMT_01_FP,d_oFMT_02_cc,d_oFMT_02_d0,d_oFMT_02_FP,d_oFMT_03_cc,d_oFMT_03_d0,d_oFMT_03_FP,d_oFMT_04_cc,d_oFMT_04_d0,d_oFMT_04_FP,d_oFMT_05_cc,d_oFMT_05_d0,d_oFMT_05_FP,d_oFMT_06_cc,d_oFMT_06_d0,d_oFMT_06_d0x,d_oFMT_06_FP,d_oFMT_07_cc,d_oFMT_07_d0,d_oFMT_07_FP,b_old_01_cc,b_old_01_d0,b_old_01_FP,b_old_02_cc,b_old_02_d0,b_old_02_FP,b_old_03_cc,b_old_03_d0,b_old_03_FP,b_old_04_cc,b_old_04_d0,b_old_04_FP,b_old_05_cc,b_old_05_d0,b_old_05_FP,b_old_06_cc,b_old_06_d0,b_old_06_FP,b_old_07_cc,b_old_07_d0,b_old_07_FP,b_old_08_cc,b_old_08_d0,b_old_08_FP,c_yFMT_01_cc,c_yFMT_01_d0,c_yFMT_01_FP,c_yFMT_02_cc,c_yFMT_02_d0,c_yFMT_02_FP,c_yFMT_03_cc,c_yFMT_03_d0,c_yFMT_03_FP,c_yFMT_04_cc,c_yFMT_04_d0,c_yFMT_04_FP,c_yFMT_05_cc,c_yFMT_05_d0,c_yFMT_05_FP,c_yFMT_06_cc,c_yFMT_06_FP,c_yFMT_07_cc,c_yFMT_07_d0,c_yFMT_07_FP,c_yFMT_08_cc,c_yFMT_08_d0,c_yFMT_08_d0x,c_yFMT_08_FP,a_young_01_cc,a_young_01_d0,a_young_01_FP,a_young_02_cc,a_young_02_d0,a_young_02_FP,a_young_03_cc,a_young_03_d0,a_young_03_FP,a_young_04_cc,a_young_04_d0,a_young_04_FP,a_young_05_cc,a_young_05_d0,a_young_05_FP,a_young_06_cc,a_young_06_d0,a_young_06_FP,a_young_07_cc,a_young_07_d0,a_young_07_FP,a_young_08_cc,a_young_08_d0,a_young_08_FP
OTU_1,1159,1631,1406,1720,2617,2015,1558,1690,2268,2806,1804,2539,1092,2465,1846,1085,2511,2013,1188,1404,3309,3081,804,0,2032,436,277,516,809,62,1196,461,90,579,59,0,148,0,219,15,0,354,34,980,802,1133,1714,2690,2225,2000,1092,2278,1541,1489,2917,1918,1610,1446,1328,1203,2502,2567,2281,2691,1721,2061,1148,1670,1908,2487,189,0,159,32,0,83,111,0,92,417,0,591,125,0,113,278,0,559,34,2,193,271,0,657
OTU_2,165,1145,244,266,1117,553,154,779,393,207,1336,536,56,1165,168,97,1883,847,149,99,1896,287,156,0,642,264,0,284,226,0,514,0,0,266,808,0,2349,155,0,409,615,0,3499,325,0,519,1234,1390,1252,1100,0,1111,1434,1247,2165,1351,480,1283,1013,0,2428,1798,1784,1988,0,2204,871,0,0,2260,0,909,0,0,1614,85,108,454,49,411,988,418,91,162,0,149,625,329,90,798,510,0,697,739
OTU_3,112,788,167,199,850,346,103,529,238,117,937,302,39,813,58,40,1131,516,56,67,1406,167,57,0,378,150,0,140,124,0,283,0,0,176,508,0,1298,95,0,285,335,0,1769,239,0,359,1523,1238,1582,1205,0,1264,1712,1137,2489,1711,467,1438,1094,0,2931,1681,1960,2196,0,2355,852,0,0,2662,0,987,0,0,1932,90,129,670,59,524,1102,508,87,204,0,134,720,390,111,1033,646,0,899,854
OTU_4,771,423,859,595,379,881,221,495,409,305,115,575,398,430,852,51,530,367,62,330,561,715,185,0,906,103,567,103,393,962,890,495,424,889,66,0,142,0,665,0,0,529,8,16,570,9,378,499,359,427,121,503,561,492,994,807,522,723,215,761,493,285,351,560,1057,733,121,641,506,321,237,508,127,0,120,0,63,27,63,263,314,278,31,0,49,168,63,354,72,81,310,162,4,406
OTU_5,27,195,36,85,293,68,36,269,63,114,163,119,80,304,77,41,262,153,105,113,258,139,131,246,140,594,386,595,217,300,337,149,364,181,529,428,784,354,409,566,545,310,965,599,234,707,255,391,350,223,153,171,282,194,342,228,122,121,255,343,419,237,233,371,248,361,211,374,308,285,230,146,327,725,162,838,120,284,125,463,76,302,418,237,334,598,401,664,412,444,1020,561,256,746
OTU_6,447,189,611,674,483,825,472,424,797,540,370,860,2203,574,3200,536,281,422,582,564,242,619,213,0,359,454,778,492,212,443,248,210,763,285,56,0,50,0,172,0,39,201,108,315,245,273,271,396,326,225,291,253,339,682,299,294,338,182,0,312,0,30,15,0,242,0,69,494,236,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_7,314,413,308,179,364,219,672,166,854,94,441,146,334,512,493,256,376,1271,367,121,403,126,413,401,393,305,334,191,361,338,420,251,36,297,118,837,127,72,742,118,321,512,504,436,349,450,69,317,78,226,320,148,188,221,193,243,268,93,179,77,245,98,164,185,269,151,149,498,412,245,168,282,372,23,170,183,102,293,118,368,183,650,151,49,146,61,158,136,47,178,157,84,507,134
OTU_8,310,135,555,544,142,564,664,134,466,428,128,754,410,200,507,426,126,123,677,454,129,519,72,27,102,109,174,76,77,110,116,63,138,64,126,111,293,170,95,170,130,111,202,151,106,144,398,94,599,294,37,227,378,129,561,270,129,163,305,104,395,244,299,315,106,270,219,104,164,323,194,205,341,136,170,221,212,171,156,340,240,336,327,66,198,288,147,368,136,227,417,253,180,289
OTU_9,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,20,55,0,0,0,0,0,0,0,0,0,0,0,0,591,0,263,13,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,600,0,111,0,0,728,0,753,998,0,223,517,1677,130,843,3813,306,373,1589,94,1548,795,198,84,1685,0,1052,1486,94,230,0,0,0,469,110,178
OTU_10,0,222,0,0,240,0,0,139,0,4,127,7,16,164,9,14,174,170,7,20,179,9,306,47,560,232,131,252,323,302,387,205,404,262,169,601,280,185,196,421,177,214,371,281,223,322,177,283,207,198,69,187,378,327,458,149,125,66,66,205,109,126,144,137,175,101,141,200,200,240,244,648,374,283,527,372,326,443,257,554,398,514,282,388,237,240,448,367,131,473,261,137,633,207
