Sample,Group,Tissue,Timepoint
d_oFMT_01_cc,d_oFMT,Cecum,end
d_oFMT_01_d0,d_oFMT,FP,start
d_oFMT_01_FP,d_oFMT,FP,end
d_oFMT_02_cc,d_oFMT,Cecum,end
d_oFMT_02_d0,d_oFMT,FP,start
d_oFMT_02_FP,d_oFMT,FP,end
d_oFMT_03_cc,d_oFMT,Cecum,end
d_oFMT_03_d0,d_oFMT,FP,start
d_oFMT_03_FP,d_oFMT,FP,end
d_oFMT_04_cc,d_oFMT,Cecum,end
d_oFMT_04_d0,d_oFMT,FP,start
d_oFMT_04_FP,d_oFMT,FP,end
d_oFMT_05_cc,d_oFMT,Cecum,end
d_oFMT_05_d0,d_oFMT,FP,start
d_oFMT_05_FP,d_oFMT,FP,end
d_oFMT_06_cc,d_oFMT,Cecum,end
d_oFMT_06_d0,d_oFMT,FP,start
d_oFMT_06_d0x,d_oFMT,FP,start
d_oFMT_06_FP,d_oFMT,FP,end
d_oFMT_07_cc,d_oFMT,Cecum,end
d_oFMT_07_d0,d_oFMT,FP,start
d_oFMT_07_FP,d_oFMT,FP,end
b_old_01_cc,b_old,Cecum,end
b_old_01_d0,b_old,FP,start
b_old_01_FP,b_old,FP,end
b_old_02_cc,b_old,Cecum,end
b_old_02_d0,b_old,FP,start
b_old_02_FP,b_old,FP,end
b_old_03_cc,b_old,Cecum,end
b_old_03_d0,b_old,FP,start
b_old_03_FP,b_old,FP,end
b_old_04_cc,b_old,Cecum,end
b_old_04_d0,b_old,FP,start
b_old_04_FP,b_old,FP,end
b_old_05_cc,b_old,Cecum,end
b_old_05_d0,b_old,FP,start
b_old_05_FP,b_old,FP,end
b_old_06_cc,b_old,Cecum,end
b_old_06_d0,b_old,FP,start
b_old_06_FP,b_old,FP,end
b_old_07_cc,b_old,Cecum,end
b_old_07_d0,b_old,FP,start
b_old_07_FP,b_old,FP,end
b_old_08_cc,b_old,Cecum,end
b_old_08_d0,b_old,FP,start
b_old_08_FP,b_old,FP,end
c_yFMT_01_cc,c_yFMT,Cecum,end
c_yFMT_01_d0,c_yFMT,FP,start
c_yFMT_01_FP,c_yFMT,FP,end
c_yFMT_02_cc,c_yFMT,Cecum,end
c_yFMT_02_d0,c_yFMT,FP,start
c_yFMT_02_FP,c_yFMT,FP,end
c_yFMT_03_cc,c_yFMT,Cecum,end
c_yFMT_03_d0,c_yFMT,FP,start
c_yFMT_03_FP,c_yFMT,FP,end
c_yFMT_04_cc,c_yFMT,Cecum,end
c_yFMT_04_d0,c_yFMT,FP,start
c_yFMT_04_FP,c_yFMT,FP,end
c_yFMT_05_cc,c_yFMT,Cecum,end
c_yFMT_05_d0,c_yFMT,FP,start
c_yFMT_05_FP,c_yFMT,FP,end
c_yFMT_06_cc,c_yFMT,Cecum,end
c_yFMT_06_FP,c_yFMT,FP,end
c_yFMT_07_cc,c_yFMT,Cecum,end
c_yFMT_07_d0,c_yFMT,FP,start
c_yFMT_07_FP,c_yFMT,FP,end
c_yFMT_08_cc,c_yFMT,Cecum,end
c_yFMT_08_d0,c_yFMT,FP,start
c_yFMT_08_d0x,c_yFMT,FP,start
c_yFMT_08_FP,c_yFMT,FP,end
a_young_01_cc,a_young,Cecum,end
a_young_01_d0,a_young,FP,start
a_young_01_FP,a_young,FP,end
a_young_02_cc,a_young,Cecum,end
a_young_02_d0,a_young,FP,start
a_young_02_FP,a_young,FP,end
a_young_03_cc,a_young,Cecum,end
a_young_03_d0,a_young,FP,start
a_young_03_FP,a_young,FP,end
a_young_04_cc,a_young,Cecum,end
a_young_04_d0,a_young,FP,start
a_young_04_FP,a_young,FP,end
a_young_05_cc,a_young,Cecum,end
a_young_05_d0,a_young,FP,start
a_young_05_FP,a_young,FP,end
a_young_06_cc,a_young,Cecum,end
a_young_06_d0,a_young,FP,start
a_young_06_FP,a_young,FP,end
a_young_07_cc,a_young,Cecum,end
a_young_07_d0,a_young,FP,start
a_young_07_FP,a_young,FP,end
a_young_08_cc,a_young,Cecum,end
a_young_08_d0,a_young,FP,start
a_young_08_FP,a_young,FP,end
